id,refined_local_name,parent_id,refined_local_name_p,schema,vec_datatype_numeric,vec_datatype_text,vec_datatype_date,vec_datatype_miscellaneous,vec_constraint_pk,vec_constraint_fk,vec_constraint_notnull,vec_constraint_default,vec_constraint_unique,vec_constaint_check,concept_concat_info,concept_concat_sgtrt5,concept_concat_sgtrt5_dtype_constraints,reconstruction_error_zscore_sgtrt5,reconstruction_error_zscore_glove,reconstruction_error_lof_sgtrt5,reconstruction_error_lof_glove,reconstruction_error_01lof_sgtrt5,reconstruction_error_01lof_glove,reconstruction_error_pca2_glove,reconstruction_error_pca5_glove,reconstruction_error_pca2_sgtrt5,reconstruction_error_pca5_sgtrt5,reconstruction_error_01pca2_glove,reconstruction_error_01pca5_glove,reconstruction_error_01pca40_glove,reconstruction_error_01pca2_sgtrt5,reconstruction_error_01pca5_sgtrt5,reconstruction_error_01pca55_sgtrt5,reconstruction_error_01ae_v0_glove,reconstruction_error_01ae_v0_sgtrt5,reconstruction_error_01ae_v0_glove_b10,reconstruction_error_01ae_v0_sgtrt5_b10,reconstruction_error_ensemble_AHMb,reconstruction_error_ensemble_APC
CONCEPT_144,customernumber,CONCEPT_143,payments,OC_MYSQL,1,0,0,0,0,0,1,0,0,0,customernumber:payments:OC_MYSQL,payments customer number,payments customer number numeric not null,0.8199172,0.811132964881812,1.1149114,1.0410149452348394,1.1086282,1.1515536293577555,0.1333570435520643,0.1067515305707153,0.0005460593,0.00041914269,0.0476159971649572,0.0399769261634405,0.0019993689833275,0.035791665,0.026843393,0.0025739127,698.15125,837.4255,796.2261,1036.5054,0.5627990643243588,0.5523703226651493
CONCEPT_145,checknumber,CONCEPT_143,payments,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,checknumber:payments:OC_MYSQL,payments check number,payments check number text not null,0.9613614,0.7900886275508284,1.2391553,1.0444728273784487,1.2307894,1.1477996081490014,0.1176749931639403,0.0994217669036718,0.0007663973,0.0007298608,0.04719978548194,0.0397387204964093,0.0042469742724051,0.05081482,0.048500057,0.0036800054,692.3116,958.20123,795.1902,1145.9244,0.9556654841773381,0.8330363760568994
CONCEPT_146,paymentdate,CONCEPT_143,payments,OC_MYSQL,0,0,1,0,0,0,1,0,0,0,paymentdate:payments:OC_MYSQL,payments payment date,payments payment date date not null,0.9226571,0.8004596384343038,1.1746806,1.0596057010877833,1.1686351,1.1568072687211388,0.1232038808772328,0.1033915979190836,0.00073166797,0.0006328568,0.047376974888908,0.0392189651933437,0.0022539643077362,0.047527,0.041925002,0.003075509,691.354,910.6704,794.80786,1118.1458,0.8329856066131288,0.7432342273292213
CONCEPT_147,amount,CONCEPT_143,payments,OC_MYSQL,0,0,0,0,0,0,1,0,0,0,amount:payments:OC_MYSQL,payments amount,payments amount not null,0.9576041,0.7859703800995274,1.2652787,1.047616115249305,1.2558388,1.1666960153986714,0.1190468252855127,0.0927841690412371,0.00080623175,0.0007050801,0.0471529837274125,0.0407859181522324,0.0035854674560813,0.05207804,0.046057265,0.004174993,693.82697,932.04144,785.60077,1129.5419,0.9728835892240514,0.851028799851461
CONCEPT_149,productline,CONCEPT_148,productlines,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,productline:productlines:OC_MYSQL,product lines product line,product lines product line text not null,0.8587346,0.9073205161908674,1.0464903,1.1646510786684137,1.0473372,1.2007839251142656,0.1755380961186372,0.1196849341692623,0.00042537754,0.00039830394,0.046989153354542,0.0454639858772292,0.003428009347609,0.027890587,0.026393255,0.0016653888,749.66034,855.9329,879.18317,1043.9468,0.4979681288555964,0.5048409723215268
CONCEPT_150,textdescription,CONCEPT_148,productlines,OC_MYSQL,0,1,0,0,0,0,0,1,0,0,textdescription:productlines:OC_MYSQL,product lines text description,product lines text description text default,0.8159979,0.920694062947124,1.0318897,1.2078330629359857,1.0297745,1.2302701530701896,0.1922844825285908,0.121434768307567,0.00039481837,0.0003674681,0.0484934128603045,0.0468949897029933,0.0057425321464876,0.026121026,0.024614183,0.0047096293,765.1704,813.50336,894.94354,1012.6552,0.4130922814604783,0.45717479052107024
CONCEPT_151,htmldescription,CONCEPT_148,productlines,OC_MYSQL,0,1,0,0,0,0,0,0,0,0,htmldescription:productlines:OC_MYSQL,product lines html description,product lines html description text,0.8018989,0.9320104610992804,1.0387235,1.225699978475465,1.0362859,1.234054456115637,0.2025709765608935,0.1315831891459083,0.0004056272,0.000375159,0.0496512580543579,0.0481128485531556,0.0047486824097629,0.026967347,0.02503562,0.0047547794,774.94525,825.10187,891.63947,1029.9008,0.4295247578355615,0.4891395221748651
CONCEPT_152,image,CONCEPT_148,productlines,OC_MYSQL,0,0,0,1,0,0,0,0,0,0,image:productlines:OC_MYSQL,product lines image,product lines image miscellaneous,0.79126114,0.8602220983952368,1.024262,1.1391154017485037,1.0247598,1.1863835655352848,0.1445234147514465,0.0882075388851807,0.00033902944,0.00031928284,0.0420483048558308,0.0405681933706142,0.0051867838012353,0.022980487,0.021879213,0.0026503447,731.9192,810.05664,869.5414,994.22156,0.3512191760932567,0.3846649686872467
CONCEPT_154,productcode,CONCEPT_153,products,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,productcode:products:OC_MYSQL,products product code,products product code text not null,0.7585558,0.6543406393045018,0.99531496,0.980307616901592,0.9964959,0.991165109533114,0.0796040886569374,0.0641760587976328,0.0003342095,0.0003178759,0.0162077676792915,0.0143159274143047,0.0020692972750236,0.021927213,0.020894585,0.0022886808,575.5292,795.7364,697.0929,983.30066,0.2903023185744562,0.25028711005353566
CONCEPT_155,productname,CONCEPT_153,products,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,productname:products:OC_MYSQL,products product name,products product name text not null,0.767083,0.6135492053622679,0.9939085,0.9738824067602566,0.99305993,0.98702298414425,0.0647655364834046,0.0398442866155614,0.00020196677,0.00018045884,0.0121445212504104,0.0098635485670183,0.0014143469544827,0.013336539,0.011904307,0.0013010633,563.2137,756.5707,686.83966,944.6081,0.21143947406806318,0.14601815913999835
